,amount_yr0,count,percentage
0,50.0,37811,0.15532213805681985
1,25.0,36253,0.14892209862140357
2,100.0,19828,0.081450566062538
3,10.0,17391,0.07143972132305822
4,20.0,10954,0.044997453129364595
5,75.0,5552,0.022806815754448807
6,30.0,4353,0.01788149657404821
7,200.0,4198,0.017244778915197424
8,150.0,4146,0.017031170410292645
9,40.0,3673,0.015088154586831857
10,15.0,2784,0.011436270724132832
11,60.0,2591,0.010643454542467014
12,6.32,2489,0.01022445324438456
13,35.0,2385,0.009797236234575001
14,125.0,2237,0.00918927356676909
15,99.0,1936,0.007952808951839498
16,45.0,1650,0.006777962174863208
17,5.0,1478,0.006071410966332014
18,250.0,1447,0.005944067434561856
19,70.0,1378,0.005660625379976667
20,300.0,1251,0.005138927685305378
21,110.0,1127,0.004629553558224749
22,80.0,1046,0.004296817233276919
23,55.0,904,0.0037135017006523275
24,90.0,891,0.0036600995744261325
25,175.0,889,0.003651883862699026
26,120.0,855,0.003512216763338208
27,65.0,839,0.0034464910695213525
28,85.0,731,0.003002842636257579
29,500.0,696,0.002859067681033208
30,1.0,652,0.0026783220230368558
31,225.0,512,0.0021032222021393713
32,400.0,511,0.002099114346275818
33,130.0,493,0.0020251729407318557
34,95.0,479,0.0019676629586421073
35,160.0,468,0.001922476544143019
36,115.0,467,0.0019183686882794657
37,350.0,453,0.0018608587061897171
38,140.0,427,0.0017540544537373273
39,105.0,395,0.0016226030661036165
40,135.0,382,0.0015692009398774215
41,6.0,355,0.0014582888315614782
42,2.0,333,0.001367916002563302
43,170.0,328,0.0013473767232455348
44,210.0,286,0.0011748467769762895
45,180.0,284,0.0011666310652491826
46,275.0,270,0.001109121083159434
47,145.0,268,0.0011009053714323273
48,149.0,253,0.0010392875334790253
49,36.0,244,0.0010023168307070442
50,165.0,235,0.000965346127935063
51,220.0,235,0.000965346127935063
52,185.0,223,0.0009160518575724215
53,190.0,222,0.000911944001708868
54,155.0,205,0.0008421104520284592
55,56.32,204,0.0008380025961649058
56,199.0,192,0.0007887083258022642
57,450.0,186,0.0007640611906209435
58,325.0,185,0.0007599533347573901
59,31.32,177,0.0007270904878489624
60,260.0,176,0.0007229826319854089
61,3.0,175,0.0007188747761218555
62,16.32,170,0.0006983354968040881
63,240.0,166,0.0006819040733498743
64,600.0,161,0.000661364794032107
65,18.0,158,0.0006490412264414466
66,230.0,155,0.0006367176588507863
67,11.0,154,0.0006326098029872328
68,195.0,150,0.0006161783795330189
69,26.0,140,0.0005750998208974844
70,205.0,134,0.0005504526857161636
71,198.0,132,0.0005422369739890567
72,31.0,130,0.0005340212622619498
73,270.0,129,0.0005299134063983963
74,235.0,129,0.0005299134063983963
75,1000.0,129,0.0005299134063983963
76,550.0,125,0.0005134819829441824
77,16.0,123,0.0005052662712170756
78,56.0,121,0.0004970505594899686
79,310.0,114,0.0004682955684450944
80,12.0,113,0.00046418771258154094
81,290.0,113,0.00046418771258154094
82,215.0,109,0.0004477562891273271
83,375.0,106,0.0004354327215366667
84,124.0,105,0.00043132486567311324
85,22.0,105,0.00043132486567311324
86,4.0,100,0.00041078558635534594
87,28.0,99,0.0004066777304917925
88,61.0,97,0.0003984620187646856
89,51.0,96,0.0003943541629011321
90,54.0,96,0.0003943541629011321
91,106.32,95,0.00039024630703757865
92,280.0,95,0.00039024630703757865
93,27.0,93,0.00038203059531047176
94,245.0,93,0.00038203059531047176
95,32.0,91,0.0003738148835833648
96,285.0,91,0.0003738148835833648
97,265.0,91,0.0003738148835833648
98,255.0,89,0.0003655991718562579
99,21.0,88,0.00036149131599270447
100,320.0,86,0.00035327560426559753
101,42.0,86,0.00035327560426559753
102,37.0,85,0.00034916774840204406
103,52.0,85,0.00034916774840204406
104,33.0,85,0.00034916774840204406
105,700.0,84,0.0003450598925384906
106,41.0,83,0.0003409520366749372
107,249.0,82,0.0003368441808113837
108,425.0,80,0.00032862846908427676
109,53.0,80,0.00032862846908427676
110,13.0,80,0.00032862846908427676
111,26.32,78,0.0003204127573571698
112,330.0,78,0.0003204127573571698
113,106.0,77,0.0003163049014936164
114,12.64,75,0.00030808918976650947
115,101.0,75,0.00030808918976650947
116,360.0,72,0.0002957656221758491
117,66.0,72,0.0002957656221758491
118,96.0,71,0.00029165776631229565
119,17.0,70,0.0002875499104487422
120,299.0,70,0.0002875499104487422
121,750.0,69,0.0002834420545851887
122,81.0,69,0.0002834420545851887
123,29.0,68,0.00027933419872163524
124,23.0,68,0.00027933419872163524
125,475.0,67,0.0002752263428580818
126,46.0,67,0.0002752263428580818
127,44.0,66,0.00027111848699452835
128,370.0,66,0.00027111848699452835
129,72.0,66,0.00027111848699452835
130,7.0,66,0.00027111848699452835
131,57.0,65,0.0002670106311309749
132,38.0,65,0.0002670106311309749
133,86.0,65,0.0002670106311309749
134,8.0,65,0.0002670106311309749
135,800.0,64,0.0002629027752674214
136,34.0,64,0.0002629027752674214
137,340.0,63,0.00025879491940386794
138,49.0,62,0.00025468706354031447
139,24.0,62,0.00025468706354031447
140,335.0,61,0.00025057920767676106
141,650.0,60,0.0002464713518132076
142,305.0,60,0.0002464713518132076
143,48.0,59,0.00024236349594965412
144,87.0,59,0.00024236349594965412
145,43.0,59,0.00024236349594965412
146,68.0,58,0.00023825564008610065
147,62.0,58,0.00023825564008610065
148,77.0,57,0.0002341477842225472
149,420.0,56,0.00023003992835899373
150,111.0,56,0.00023003992835899373
151,109.0,56,0.00023003992835899373
152,315.0,56,0.00023003992835899373
153,76.0,56,0.00023003992835899373
154,92.0,54,0.00022182421663188682
155,59.0,52,0.0002136085049047799
156,39.0,52,0.0002136085049047799
