,id,date,amount
32,92eac1b3b4a9f3b0ce35252b869adef5,01-01-2013,30.0
107,488ea5cc70cb3027e6832d4972c40d48,01-01-2013,100.0
175,d0fa0ffd04d6bffeef09eab5c7607a29,01-01-2013,100.0
197,e006678f439f3e085053dee51ee4e615,01-01-2013,65.0
213,2c0bc86df0a6418c61f152dde0c268ee,01-01-2013,20.0
298,380e577c3630eb91256148cffe0c010b,01-01-2013,50.0
398,61375593aea60c32899adaa53138bb24,01-01-2013,50.0
473,6a80fa80d6dc225df768c95dc5e4dc96,01-01-2013,69.0
494,c8d25f32f9e55f8992d2e138b030bdd7,01-01-2013,40.0
549,04aedd6c925bc4ca8d1dd7321c92bfa3,01-01-2013,50.0
719,1e24baf55e9c8ff5232ac1a161d66c3f,01-01-2013,25.0
727,0d9ba9a7f7f90a430332e40837e76efb,01-01-2013,200.0
910,6009e95e2166d9abaa151ceb8bfb2421,01-01-2013,50.0
1117,45107ddda77f547ea2b748ed45054aa1,01-01-2013,1.0
1317,ccad7ad26c291c02a1a3356795041940,01-01-2013,100.0
1355,2bf10e10d681f0f1973d1061d84ad442,01-01-2013,25.0
1377,86add1aa85e98fb07e7b9828145e3067,01-01-2013,2.0
1396,6239306a06121bdca068601521942653,01-01-2013,25.0
1474,ee517c734450a4c4330fb8a03aa406e8,01-01-2013,25.0
1511,cc7aab8bb4edf586b184cc006bf456df,01-01-2013,16.0
1563,64a2d648189bc78d5814f495067554fd,01-01-2013,10.0
1647,1475bb908d0333686c094bd5b026ffe6,01-01-2013,25.0
1670,8092c12c090a703ceb12b16d12135263,01-01-2013,50.0
1697,679913d3789c8cb835d9964f3c0e1bc0,01-01-2013,50.0
1719,fc40154285ba4062900dbd82d676de95,01-01-2013,25.0
1863,556fda9cedbdffd54ad595de61f32850,01-01-2013,1.0
2045,aa53afc3a858cdb34facb73f862f1965,01-01-2013,30.0
2062,727cacf8502798e4a7be46832d8e0cf2,01-01-2013,10.0
2157,26f2292dce9f466ec423361d58ba1a21,01-01-2013,25.0
2214,fa1a2dc5b364b508578e3a360b5afd85,01-01-2013,10.0
